S,comparisons,cpu_time_seconds
1,18673888,3.89751829195302
2,18673888,3.6741618750384077
3,18673938,3.862543832976371
5,18728179,3.606478999950923
10,19074428,3.583775334060192
20,20225265,3.3569695410551503
50,23193587,3.498190167010762
100,29905361,4.168830125010572
200,44234781,5.568630167050287
500,133803612,15.148684042040259
1000,254777869,33.64921524992678
